name,origin,category,downloads_or_userbase,main_features,pricing_model,monetization,market_positioning,evidence_ids
"Life360","USA","Family location / safety","100M+ Play installs; ~95.8M MAU; 2.8M paying circles","Live family location, place alerts, driving/crash detection, SOS, roadside assist, ID/credit monitoring","Freemium 3-tier subscription (Silver/Gold/Platinum) + 7-day trial","Subscriptions (USD 369.3M FY25) + data/partnership + hardware (Tile)","Market leader; family/household tracking; public co (NASDAQ LIF)","E01;E03;E04;E06;E07"
"bSafe (Bipper)","Norway","Personal safety (women-focused)","125+ countries; millions of downloads","SOS alarm, live location to Guardians, audio+video recording, Follow Me trail, voice activation, fake call, check-in timer","Freemium + on-demand micro-subscription (24h/week/month/year)","Consumer subscription","Women-walking-alone niche; evidence capture","E09;E10;E11"
"Noonlight","USA","Monitored emergency response","Millions (exact band n/a)","Silent one-button 911 dispatch w/ 24/7 human verification, hold-release+PIN, crash response, Timeline, smart-home/rideshare integrations","Free core dispatch; iOS-only paid tiers; 30-day trial","Consumer subscription + B2B2C API (insurance, smart home)","Real human dispatch / API platform","E12;E13"
"Citizen","USA","Public-safety alerts + protection","~5M users (2020); 100k+ Protect subs (2022)","Real-time 911-derived incident alerts, live video, location share, Protect live human safety agents","Free alerts + Protect subscription","Subscription (Protect) + venture funded","Crime-awareness + premium on-demand agents","E14;E15"
"Hollie Guard","UK","Personal safety + monitoring","Trusted by 45+ UK police forces (charity-backed)","Shake/panic alert, audio+video+GPS evidence, journey tracking, meeting/duress; Extra adds 24/7 monitored URN escalation","Free core + Extra GBP 7.99/mo","Consumer subscription + B2B/B2G + donations","Police-aligned UK safety; lone-worker B2B","E16"
"KADES","Turkey","Government women-support / emergency","~9.7M downloads; 2.1M+ reports","One-touch report to police (155); GPS sent to nearest unit; direct law-enforcement dispatch","Free (state-funded)","None (government public service)","Dominant TR app; OFFICIAL state dispatch; the de-facto benchmark KoruBeni must NOT impersonate","E17"
"Pronet Mobil Panik Butonu","Turkey","Private alarm-monitoring panic","n/a (tied to Pronet brand base)","Panic -> SMS + location to contacts + Pronet 24/7 alarm center; live map tracking; works without Pronet alarm subscription","Monthly/annual subscription","Consumer subscription + alarm-co upsell","TR private monitored alternative to KADES","E18"
"One Scream","UK/Global","Voice-activated personal safety","Niche","AI panic-scream / safe-word detection -> siren -> auto call + SMS to up to 3 contacts if not cancelled in 20s","Subscription","Consumer subscription","Hands-free voice trigger niche","E27"
"Red Panic Button","Romania/Global","Panic-button utility","Niche","Panic SMS/email + photo/video/audio alert, Apple Watch; live location","Free core + ~USD 4.99 pro (multi-contact, no ads)","Low-cost IAP","Cheap utility panic button","E28"
"Google Personal Safety","USA","OEM built-in safety","Pre-installed (Pixel/Android)","Emergency SOS, car-crash detection, safety check, emergency location sharing","Free (bundled with OS)","None (OS feature)","Free default baseline that commoditizes core safety","E29"
"KoruBeni (subject)","Turkey","Offline-first personal safety","Pre-launch (v1.0.0)","Free: fake call, siren, emergency contacts, map/location session, PIN lock. Pro: panic/SOS, countdown, contact auto-call, Safe Walk, check-in, safety timeline, volume trigger","Freemium + RevenueCat/Play subscription (Pro)","Consumer subscription (planned)","Privacy-minimal, offline-first, no-backend, duress-aware (PIN-only, no biometric, no mic, no background location)","E30"
