item,type,KoruBeni,Life360,bSafe,Noonlight,Citizen,HollieGuard,KADES,OneScream
"SOS / Panic button",feature,"Yes (Pro)","Yes","Yes","Yes (free)","Yes (Protect)","Yes","Yes (to police)","Yes"
"24/7 monitored human dispatch",feature,"No","Partial (Platinum)","Premium","Yes (free, US)","Yes (Protect agents)","Yes (Extra)","Yes (state police)","No"
"Auto-send location to contacts (SMS/link)",feature,"No (offline-first; manual)","Yes","Yes","Yes","Yes","Yes","Yes (to police)","Yes"
"Live location sharing / tracking",feature,"Map session only","Yes (continuous)","Yes (Follow Me)","Yes","Yes","Yes","During report","Limited"
"Check-in / timer",feature,"Yes (Pro)","Yes","Yes (Premium)","No","No","Yes","No","No"
"Safe Walk / journey escort",feature,"Yes (Pro)","Yes","Yes","No","No","Yes","No","No"
"Fake call",feature,"Yes (free)","No","Yes","No","No","No","No","No"
"Siren / loud alarm",feature,"Yes (free)","No","Yes","No","No","Yes","No","Yes"
"Voice / scream activation",feature,"No","No","Yes","No","No","No","No","Yes"
"Audio/video evidence recording",feature,"No (removed by design)","No","Yes","No","Yes (live video)","Yes","No","No"
"Crash detection",feature,"No","Yes","No","Yes","No","No","No","No"
"PIN / passcode lock",feature,"Yes (local PIN only)","Account-based","No","No","No","No","No","No"
"Biometric unlock",feature,"No (forbidden - duress safety)","Device-level","No","No","No","No","No","No"
"Works fully offline (core flow)",feature,"Yes (differentiator)","No","No","No (needs dispatch)","No","Partial","Needs network for report","Partial"
"Official emergency-service integration",feature,"No (must disclaim)","No","No","Yes (911)","Yes (911 data)","Yes (UK police URN)","Yes (TR police 155)","No"
"Developer backend / cloud account",architecture,"No","Yes","Yes","Yes","Yes","Yes","Yes (state)","Yes"
"Third-party analytics / ads SDK",architecture,"No","Yes","Likely","Likely","Yes","Likely","Unknown","Likely"
"Fine location (ACCESS_FINE_LOCATION)",permission,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe"
"Background location",permission,"No (not requested)","Yes","Yes","Yes","Yes","Yes","During use","Maybe"
"Contacts (READ_CONTACTS)",permission,"Yes (broad - see Play Apr-2026 risk)","Yes","Yes","Yes","Maybe","Yes","Maybe","Yes"
"Microphone (RECORD_AUDIO)",permission,"No (removed)","Maybe","Yes","No","Yes","Yes","No","Yes"
"Camera",permission,"Optional (photo picker, fake-call avatar)","Maybe","Yes","No","Yes","Yes","No","No"
"Phone call (CALL_PHONE)",permission,"Yes","No","Yes","Maybe","No","Maybe","Yes","Yes"
"Exact alarm (SCHEDULE_EXACT_ALARM)",permission,"Yes","Maybe","Maybe","Maybe","Maybe","Maybe","Unknown","Maybe"
"Foreground service",permission,"Yes (specialUse)","Yes (location)","Yes","Yes","Yes","Yes","Unknown","Maybe"
"Full-screen intent",permission,"Likely (fake-call/panic)","Maybe","Maybe","Maybe","Maybe","Maybe","Unknown","Maybe"
"Battery-optimization exemption",permission,"Yes (requests)","Yes","Maybe","Yes","Maybe","Maybe","Unknown","Maybe"
"Boot completed (autostart)",permission,"Yes","Yes","Maybe","Maybe","Maybe","Maybe","Unknown","Maybe"
