hypothesis_id,hypothesis,confidence,status,evidence_ids,notes
H1,"Life360 is the global revenue/scale leader and defines the freemium multi-tier playbook for the category","High","Supported","E01;E03;E04;E06;E07","USD 489.5M rev, 95.8M MAU, 2.8M paying circles, 3 tiers + trial"
H2,"The category monetizes primarily via freemium auto-renewing subscriptions, not one-time purchase","High","Supported","E07;E09;E12;E14;E16;E26","Only Red Panic Button leans one-time; all majors use subscriptions"
H3,"Premium pricing splits by model: women-walking-alone apps price low (USD 2-8/mo); monitored-dispatch/live-agent apps price high (USD 10-20/mo)","Medium","Supported","E09;E12;E14;E16","bSafe ~USD 2-4/mo vs Citizen USD 19.99/mo vs Noonlight USD 5-10/mo"
H4,"In Turkey the dominant safety app is the FREE government KADES, so KoruBeni cannot win on official rescue and must differentiate + disclaim","High","Supported","E17","9.7M downloads, 2.1M reports, direct police dispatch"
H5,"Competitors universally disclaim being an emergency service and disclaim liability for false alarms and location inaccuracy","High","Supported","E08","Life360 explicit; industry-standard pattern KoruBeni should mirror"
H6,"Audio/video evidence recording is a common premium feature that KoruBeni intentionally lacks","High","Supported","E10;E16;E30","Design tradeoff (privacy/duress); also avoids RECORD_AUDIO Play scrutiny"
H7,"Auto-send location to emergency contacts is category table-stakes that KoruBeni currently does NOT do","High","Supported","E10;E16;E18;E30","Biggest functional gap vs every competitor; offline-first design choice"
H8,"Google Play April-2026 policy will push KoruBeni off broad READ_CONTACTS toward the Android Contact Picker","Medium","Supported (single official source)","E20","Compliance window ~30 days from 2026-04-15; verify exact applicability to safety apps"
H9,"KoruBeni's specialUse foreground service requires a Play Console declaration + demonstration video and is a real rejection risk","High","Supported","E19","Must produce demo video showing user-triggered safety feature"
H10,"KVKK March-2026 principle decision requires KoruBeni to present disclosure (aydinlatma) and consent (acik riza) as separate approvals","Medium","Supported","E23;E24","Audit onboarding to ensure not nested under one tap"
H11,"KoruBeni's privacy-minimal, offline-first architecture (no backend/mic/biometric/background-location) is a genuine, marketable differentiator","High","Supported","E22;E30","Lower stalkerware/Data-Safety risk than data-hungry rivals"
H12,"No reliable public monthly-revenue figure exists for private competitors except Life360; Citizen ~USD 500k/mo is single-source","Medium","Supported","E01;E15","All non-Life360 revenue numbers are estimates -> low confidence"
H13,"A monitored human-response option is the single biggest revenue lever competitors have that KoruBeni cannot replicate while staying offline/no-backend","Medium","Inference","E13;E16;E18","Strategic tension: monitoring needs a backend/partner, conflicting with offline-first rule"
H14,"Turkish consumer law requires clear pre-purchase price/renewal/cancellation disclosure for the Pro subscription; 14-day withdrawal is limited for started digital services","High","Supported","E25","Even with Play as biller, seller-of-record disclosure duties remain"
