app,basis,key_inputs,formula,monthly_estimate_gross,confidence,notes
"Life360","Reported (not estimated)","FY2025 subscription rev USD 369.3M; total annualized monthly rev USD 478.0M; 2.8M paying circles","Subscription/12 = 369.3M/12","USD ~30.8M/mo subscription (USD ~39.8M/mo total)","High","Public filing. Derived ARPPU = 369.3M / 2.8M / 12 = ~USD 11.0/mo per paying circle"
"Citizen","Third-party estimate","Sensor Tower Feb-2026 est ~USD 500k/mo; cross-check ~35-50k active Protect subs x USD 19.99 x 0.7 net","subs x price x (1 - store_fee)","USD ~0.5M/mo","Low","Single third-party source; subscriber cross-check gives same order of magnitude (USD 0.49M-0.70M)"
"bSafe","Bottom-up estimate","Active base assumed ~1.0-3.0M; premium conversion ~2-4% (RevenueCat median 2.18%); blended price ~USD 15/yr","active x conv x price_yr / 12","USD ~25k-150k/mo (point ~USD 40k)","Low","Wide band; active base and conversion both assumed. Micro-subscriptions depress ARPU"
"Noonlight","Bottom-up + qualitative","Paid tiers iOS-only USD 4.99-10/mo; core dispatch free; real revenue is B2B2C API","consumer_subs x price x 0.7 (+ undisclosed B2B)","USD ~50k-200k/mo consumer (B2B undisclosed, likely larger)","Low","Business model is API/partnerships (insurance, smart home), not consumer subs"
"Hollie Guard","Bottom-up + qualitative","Consumer Extra GBP 7.99/mo; plus 45+ police-force B2B/B2G contracts + charity","consumer_subs x price x 0.7 (+ B2B contracts)","USD ~70k-210k/mo consumer (B2B/B2G separate)","Low","Mixed consumer + institutional + donation model; consumer portion small"
"One Scream","Bottom-up estimate","Niche base; subscription","active x conv x price / 12","USD <50k/mo","Low","Insufficient public data; niche"
"Red Panic Button","Bottom-up estimate","Low-cost ~USD 4.99 pro IAP; minimal recurring","installs x conv x price","USD <30k/mo","Low","One-time-style pricing caps revenue"
"KADES","Reported (qualitative)","Government, free, state-funded","n/a","USD 0","High","Not monetized"
"Pronet Panik Butonu","Not separable","Bundled with Pronet alarm-monitoring brand","n/a","Not disclosed","Low","Revenue blended into parent alarm business"
"KoruBeni (planning projection)","Illustrative scenario (NOT evidence)","Scenario: 100k TR installs Y1; conv 2%; Pro ~USD 1.5/mo-equiv net after Play fee","installs x conv x price_net","USD ~3k/mo at 100k installs/2% (sensitivity USD 1.5k-15k)","n/a","Planning illustration only. TRY pricing/FX and conversion must be set in RevenueCat; low ARPU market"
