claim_id,claim,value,source_1_url,source_2_url,source_3_url,access_date,confidence,notes
E01,"Life360 FY2025 total revenue","USD 489.5M (+32% YoY)","https://investors.life360.com/news-releases/news-release-details/life360-reports-record-q4-2025-results","https://www.globenewswire.com/news-release/2026/03/02/3247854/0/en/Life360-Reports-Record-Q4-2025-Results.html","https://stockanalysis.com/stocks/lif/revenue/",2026-06-29,High,"Public company (NASDAQ LIF) audited release; three independent confirmations"
E02,"Life360 FY2025 subscription revenue","USD 369.3M","https://investors.life360.com/news-releases/news-release-details/life360-reports-record-q4-2025-results","https://www.indexbox.io/blog/life360-reports-q4-and-full-year-2025-financial-results/",,2026-06-29,High,"Remainder is data/partnership + hardware revenue"
E03,"Life360 Paying Circles (paid subscriptions)","2.8M (+26% YoY); +576k net adds FY2025","https://investors.life360.com/news-releases/news-release-details/life360-reports-record-q4-2025-results","https://marketchameleon.com/articles/b/2026/3/3/life360-q4-2025-record-profitability-user-growth-platform-momentum",,2026-06-29,High,"A Circle = household, so paying users exceed 2.8M"
E04,"Life360 Monthly Active Users","~95.8M (+20% YoY)","https://investors.life360.com/news-releases/news-release-details/life360-reports-record-q4-2025-results","https://marketchameleon.com/articles/b/2026/3/3/life360-q4-2025-record-profitability-user-growth-platform-momentum",,2026-06-29,High,
E05,"Life360 FY2025 net income (first profitable year)","USD 150.8M (USD 32.5M ex one-time tax benefit)","https://investors.life360.com/news-releases/news-release-details/life360-reports-record-q4-2025-results","https://www.indexbox.io/blog/life360-reports-q4-and-full-year-2025-financial-results/",,2026-06-29,High,"Adjusted EBITDA USD 93.2M"
E06,"Life360 Google Play installs","100M+ installs","https://play.google.com/store/apps/details?id=com.life360.android.safetymapd","https://apkpure.com/life360-stay-connected-safe/com.life360.android.safetymapd",,2026-06-29,High,"Play Store displays banded install count"
E07,"Life360 US consumer pricing","Silver USD 69.99/yr; Gold USD 14.99/mo or 99.99/yr; Platinum USD 199.99/yr; 7-day trial","https://www.life360.com/plans-pricing","https://www.bitget.com/wiki/how-much-is-life-360-gold","https://numbertracker360.com/blog/reviews-location-trackers/how-much-does-life-360-cost-an-overview-and-comparison",2026-06-29,High,"Tier names/prices vary by region; intl plans differ"
E08,"Life360 emergency-service & liability disclaimer","NOT A REPLACEMENT FOR EMERGENCY SERVICES... dial 911/999/112; no liability for location errors or false alarms","https://legal.corp.life360.com/hc/en-us/articles/17865862545815-Life360-Product-and-Services-Terms","https://legal.corp.life360.com/hc/en-us/articles/16124856472471-Life360-Terms-of-Service",,2026-06-29,High,"Model disclaimer language for KoruBeni legal review"
E09,"bSafe Premium pricing","~USD 0.49/week, USD 2/month, USD 20/year (~USD 4.17/mo), USD 1/24h","https://localsinsider.com/apps/app-with-personal-safety-features-sos-alerts-and-live-tracking-bsafe-review-pricing/","https://www.applevis.com/apps/ios/lifestyle/bsafe-never-walk-alone",,2026-06-29,Medium,"On-demand micro-subscription model; secondary review sources"
E10,"bSafe core features","SOS alarm + audio/video recording + live location to Guardians; Follow Me trail; voice activation; fake call","https://localsinsider.com/apps/app-with-personal-safety-features-sos-alerts-and-live-tracking-bsafe-review-pricing/","https://getbsafe.com/",,2026-06-29,High,
E11,"bSafe reach & origin","125+ countries, millions of downloads, launched Norway 2011 (Bipper)","https://localsinsider.com/apps/app-with-personal-safety-features-sos-alerts-and-live-tracking-bsafe-review-pricing/","https://www.crunchbase.com/organization/bsafe",,2026-06-29,Medium,"Exact Play install band not confirmed; millions is vendor/secondary"
E12,"Noonlight pricing & platforms","Free (panic+dispatch); Instant Access USD 4.99/mo; Total Protection USD ~10/mo; paid tiers iOS-only; 30-day trial","https://help.noonlight.com/en/articles/3270559-how-much-does-noonlight-cost","https://localsinsider.com/apps/free-emergency-safety-app-for-solo-us-travelers-noonlight-review/",,2026-06-29,High,"Android users get panic+dispatch+timeline free"
E13,"Noonlight core differentiator","One-button silent dispatch to 911 with 24/7 monitored human verification; hold-and-release + PIN cancel","https://www.safewise.com/noonlight-review/","https://localsinsider.com/apps/free-emergency-safety-app-for-solo-us-travelers-noonlight-review/",,2026-06-29,High,"US-only dispatch; B2B2C model (insurance/smart-home partners)"
E14,"Citizen Protect subscription price","USD 19.99/month","https://techcrunch.com/2021/08/03/controversial-crime-app-citizen-launches-20-month-protect-service/","https://hypebeast.com/2021/8/citizen-protect-app-safety-subscription-service-expert-call-price",,2026-06-29,High,"Launched Aug 2021; Get Agent live human safety agents"
E15,"Citizen scale & revenue","~5M users (2020); 100k+ Protect subscribers (2022); ~200k downloads/mo & ~USD 500k/mo revenue (Feb 2026 est.)","https://en.wikipedia.org/wiki/Citizen_(app)","https://research.contrary.com/company/citizen","https://app.sensortower.com/overview/1039889567?country=US",2026-06-29,Low,"Monthly revenue/downloads = single third-party estimate (Sensor Tower) - indicative only"
E16,"Hollie Guard pricing & adoption","Free download; Hollie Guard Extra GBP 7.99/mo (24/7 police-approved monitoring + URN); 45+ UK police forces","https://hollieguard.com/","https://www.college.police.uk/support-forces/practices/hollie-guard-app",,2026-06-29,Medium,"Charity-backed (Hollie Gazzard Trust); shake/panic -> audio/video/GPS"
E17,"KADES (Turkey government app)","~9.7M downloads (Jun 2026); 2,117,098 reports; built by Ministry of Interior, run by EGM; free; pkg tr.gov.egm.kades","https://www.icisleri.gov.tr/kades-uygulamasi-1-milyon-174-bin-indirmeye-ulasti","https://www.aa.com.tr/tr/gundem/kadin-destek-uygulamasi-8-9-milyon-kez-indirildi/3748835","https://play.google.com/store/apps/details?id=tr.gov.egm.kades",2026-06-29,High,"Dominant TR safety app; direct law-enforcement dispatch; KoruBeni MUST disclaim it is not KADES/official"
E18,"Pronet Mobil Panik Butonu (TR private)","Monthly/annual subscription; panic -> SMS + location to contacts + Pronet 24/7 alarm center; live map tracking","https://play.google.com/store/apps/details?id=com.pronet.panikbutton","https://www.pronet.com.tr/mobil-panik-butonu",,2026-06-29,Medium,"Closest TR paid private competitor; bundled with alarm-monitoring brand"
E19,"Google Play FOREGROUND_SERVICE_SPECIAL_USE rule","From Jan 22 2025 (Android 14+): declare type in Play Console with description + demonstration video; all FGS types reviewed","https://support.google.com/googleplay/android-developer/answer/13392821?hl=en","https://developer.android.com/develop/background-work/services/fgs/service-types",,2026-06-29,High,"KoruBeni uses specialUse FGS -> declaration + video required"
E20,"Google Play policy update April 15 2026","Broad contacts access must use Android Contact Picker; geofencing removed as approved special-use FGS case; precise-location button recommended as minimum","https://support.google.com/googleplay/android-developer/answer/16926792?hl=en",,,2026-06-29,Medium,"Single official source. Directly impacts KoruBeni READ_CONTACTS usage; ~30-day compliance window"
E21,"Google Play full-screen intent declaration","USE_FULL_SCREEN_INTENT requires Play Console declaration since May 31 2024; auto-granted only for permitted core functionality (alarm/call)","https://support.google.com/googleplay/android-developer/answer/13392821?hl=en",,,2026-06-29,Medium,"Relevant if KoruBeni uses full-screen intents for fake-call/panic"
E22,"Google Play stalkerware/spyware policy","Tracking apps need adequate notice + consent + persistent monitoring notification; only parental/enterprise exception; cannot track another adult","https://support.google.com/googleplay/android-developer/answer/10065487?hl=en","https://support.google.com/googleplay/android-developer/answer/14745000?hl=en","https://www.cpomagazine.com/data-privacy/google-bans-user-tracking-and-stalkerware-apps-from-play-store/",2026-06-29,High,"KoruBeni shares only the user OWN location to the user OWN contacts -> low risk if consent + indicator present"
E23,"KVKK principle decision (March 2026)","Aydinlatma (disclosure) and acik riza (explicit consent) texts must be separate; cannot be nested or accepted with a single approval","https://www.kvkk.gov.tr/Icerik/2037/Acik-Riza-Alirken-Dikkat-Edilecek-Hususlar","https://www.alomaliye.com/2026/03/24/kvkkdan-yeni-ilke-karari-acik-riza-metni-ile-aydinlatma-metni-artik-ayri-duzenlenmeli/",,2026-06-29,Medium,"KoruBeni onboarding must keep disclosure and granular consent as separate steps/approvals"
E24,"KVKK explicit consent (acik riza) requirements","Must be specific, informed, freely given; bundling consent with service is invalid; revocable","https://www.kvkk.gov.tr/yayinlar/ACIK%20RIZA.pdf","https://www.kvkk.gov.tr/Icerik/5420/2018-90",,2026-06-29,High,"KVKK Law 6698 Art.3/5"
